epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2465.59,1.20198,4.49846,0.98551,0.38472,0.07403,0.06913,0.04701,1.23621,3.06645,0.95945,8.09307e-05,8.09307e-05,8.09307e-05
2,4935.43,1.22422,3.06304,0.99946,0.24736,0.16799,0.13195,0.08848,1.19933,2.35668,0.96769,0.000159051,0.000159051,0.000159051
3,7382.96,1.18057,2.53985,0.98845,0.33328,0.2278,0.18105,0.12679,1.18171,2.11896,0.96008,0.000233951,0.000233951,0.000233951
4,9869.27,1.13634,2.25865,0.97859,0.35025,0.26331,0.23149,0.16095,1.1483,1.93691,0.95213,0.000229506,0.000229506,0.000229506
5,12314.2,1.12445,2.03238,0.97426,0.28902,0.32448,0.26791,0.18542,1.12186,1.74211,0.94689,0.000224675,0.000224675,0.000224675
6,14851.4,1.1058,1.89039,0.96645,0.38319,0.30908,0.29776,0.20965,1.11265,1.62751,0.93817,0.000219844,0.000219844,0.000219844
7,17159.6,1.07512,1.72848,0.95466,0.37078,0.37361,0.33166,0.23554,1.09114,1.51835,0.94145,0.000215013,0.000215013,0.000215013
8,19460.8,1.05054,1.62004,0.958,0.45289,0.33499,0.36401,0.26091,1.09516,1.49008,0.94124,0.000210182,0.000210182,0.000210182
9,24092,1.03957,1.50618,0.94422,0.39099,0.41362,0.38381,0.27316,1.08478,1.40504,0.93572,0.00020535,0.00020535,0.00020535
10,26249.9,1.04605,1.42831,0.95253,0.38491,0.4036,0.40545,0.28938,1.08305,1.36013,0.93611,0.000200519,0.000200519,0.000200519
11,28412.3,1.01988,1.35875,0.94031,0.46385,0.42979,0.42178,0.29935,1.0786,1.29141,0.92998,0.000195688,0.000195688,0.000195688
12,30532.8,1.00372,1.31813,0.93622,0.4955,0.44102,0.44772,0.32283,1.06712,1.2682,0.93105,0.000190857,0.000190857,0.000190857
13,32680,1.00798,1.24611,0.93495,0.5284,0.44216,0.47146,0.3402,1.07134,1.21417,0.9321,0.000186026,0.000186026,0.000186026
14,34843.1,0.9971,1.21782,0.93885,0.52661,0.46041,0.47311,0.34012,1.0681,1.20388,0.93349,0.000181194,0.000181194,0.000181194
15,36989.8,0.99326,1.17674,0.9324,0.53044,0.46395,0.47738,0.34538,1.06266,1.15059,0.92726,0.000176363,0.000176363,0.000176363
16,39113.4,0.98527,1.13677,0.93024,0.51253,0.47648,0.49474,0.36022,1.05566,1.1474,0.92481,0.000171532,0.000171532,0.000171532
17,41265.2,0.96325,1.10099,0.92117,0.55252,0.46784,0.50704,0.36816,1.05845,1.11746,0.92449,0.000166701,0.000166701,0.000166701
18,43437.3,0.96928,1.06288,0.92405,0.60599,0.45198,0.51858,0.3751,1.05557,1.09497,0.92574,0.00016187,0.00016187,0.00016187
19,45601.3,0.96786,1.04754,0.924,0.59455,0.48676,0.52643,0.3749,1.05875,1.07773,0.93034,0.000157038,0.000157038,0.000157038
20,47759.2,0.96142,1.02581,0.92417,0.61622,0.45752,0.52004,0.37482,1.05148,1.09493,0.9274,0.000152207,0.000152207,0.000152207
21,49913.5,0.95872,1.00373,0.91966,0.59164,0.48943,0.53043,0.38277,1.04598,1.04148,0.92274,0.000147376,0.000147376,0.000147376
22,52043.6,0.94338,0.98521,0.91401,0.58955,0.48377,0.52991,0.37878,1.04257,1.04406,0.92194,0.000142545,0.000142545,0.000142545
23,54200.4,0.94921,0.9658,0.91457,0.62938,0.48812,0.5478,0.39376,1.04302,1.01199,0.91947,0.000137714,0.000137714,0.000137714
24,56364.1,0.93575,0.93917,0.91284,0.59681,0.50832,0.54737,0.39132,1.04347,1.00657,0.92167,0.000132882,0.000132882,0.000132882
25,58527.2,0.93703,0.93356,0.91601,0.61108,0.51021,0.55862,0.40361,1.04353,0.99214,0.9244,0.000128051,0.000128051,0.000128051
26,60682.4,0.93062,0.90932,0.90766,0.62214,0.50226,0.56452,0.40779,1.04734,0.98416,0.92463,0.00012322,0.00012322,0.00012322
